input,target
"One hundred people attended a party. Fifty percent of the attendees are women, thirty-five percent of them are men, and the rest are children. How many children attended the party?",Calculate the number of women by finding fifty percent of the total attendees. & Calculate the number of men by finding thirty-five percent of the total attendees. & Add the number of women and men to find the total number of adults. & Subtract the total number of adults from the total attendees to find the number of children.
Patty decides that to convince her brother and sister to do her chores in exchange for cookies. Patty agrees to give them 3 cookies for every chore they do. Each kid normally has 4 chores to do per week. Patty has $15 to buy cookies. Each pack of cookies contains 24 cookies and costs $3. How many weeks can Patty go without doing chores by paying her siblings with cookies?,Determine how many packs of cookies Patty can buy with her money. & Calculate the total number of cookies Patty will have. & Find out how many cookies are needed per week for the chores. & Divide the total number of cookies by the weekly requirement to find the number of weeks.
"Sherman has a 30-minute commute to the office and a 30-minute commute home every day.  On the weekends, he spends 2 hours, each day, driving his kids to their different activities.  How many hours does Sherman drive a week?",Convert daily commute time to weekly by multiplying by the number of workdays. & Convert minutes to hours by dividing by the number of minutes in an hour. & Sum the weekday and weekend driving times.
"William left Missouri by 7:00 AM and arrived at his hometown by 8:00 PM. He had 3 stops of 25, 10 and 25 minutes respectively during the journey. How many hours did he spend on the road?",Convert the arrival time to a 24-hour format. & Calculate the total journey time by subtracting the departure time from the arrival time. & Sum the duration of all stops. & Convert the total stop time from minutes to hours. & Subtract the stop time in hours from the total journey time.
James buys 6 t-shirts for 50% off.  They each cost $20.  How much did he pay?,Determine the discounted price by applying the percentage discount to the original price. & Multiply the discounted price by the number of t-shirts to find the total cost.
"A museum has eight different wings displaying four times as many artifacts as paintings displayed. Three of the wings are dedicated to paintings. The artifacts are divided evenly among the remaining wings. One painting is so large it takes up an entire wing, and the other two wings house 12 smaller paintings each. How many artifacts are in each artifact wing?",Calculate the total number of paintings by considering the large painting and the smaller paintings. & Determine the total number of artifacts by multiplying the number of paintings by four. & Find the number of artifact wings by subtracting the painting wings from the total wings. & Divide the total number of artifacts by the number of artifact wings to find the artifacts per wing.
"Justin needs to collect one flower for each classmate that is in his 2nd-grade class. It takes him on average 10 minutes to find a flower he likes. He has been gathering for 2 hours. Assuming he has lost 3 of the flowers he initially gathered, how many more minutes does he need to look if he has 30 classmates?",Convert hours to minutes. & Divide the total minutes by the time it takes to find one flower. & Subtract the lost flowers from the total gathered. & Subtract the flowers he has from the total needed. & Multiply the remaining flowers needed by the time it takes to find one flower.
"A citrus grove has laid out their plans for their sixteen orchards for the growing season. Lemons, their most popular citrus fruit, will take up eight orchards. Oranges are their second most popular fruit and will occupy half as many orchards as the lemons. Limes and grapefruits will split the remaining orchards. How many citrus orchards will be growing grapefruits?",Determine how many orchards are used for oranges by dividing the number of lemon orchards by 2. & Subtract the number of lemon and orange orchards from the total to find the remaining orchards. & Divide the remaining orchards equally between limes and grapefruits.
"Oliver had $9, then he saved $5 from his allowance and spent $4 on a frisbee and $3 on a puzzle. His friend gives him another $8 as it's his birthday. How much money does Oliver have left?","First, add the initial amount of money to the saved amount. & Next, add the costs of the items he bought. & Subtract the total cost from the total amount saved. & Finally, add the birthday money to the remaining amount."
"John is working as an IT specialist. He repairs broken computers. One day he had to fix 20 computers. 20% of them were unfixable, and 40% of them needed to wait a few days for spare parts to come. The rest John was able to fix right away. How many computers John was able to fix right away?","First, determine the percentage of computers that were fixed right away by subtracting the percentages of unfixable computers and those waiting for parts from the total percentage. & Next, calculate the number of computers fixed right away by applying the percentage you found to the total number of computers."
Matt spends 80 minutes washing the outside of his car and 1/4 that amount of time cleaning the inside. How long does he spend cleaning his car total?,Determine the time spent cleaning the inside by dividing the outside cleaning time by 4. & Add the time spent cleaning the inside to the time spent cleaning the outside to find the total.
"Beth had a set of 125 gold coins.  Carl gave Beth a gift of an additional 35 gold coins.  Then, Beth decided to sell half of her coins.  How many coins did Beth sell?","First, add the number of coins Carl gave to the number Beth originally had. & Next, find half of the total number of coins Beth has after receiving the gift."
"There were 10 apples and 5 oranges in the basket. If Emily adds 5 more oranges to the basket, what percentage of the fruit in the basket would be apples?","First, determine the new total number of fruits after adding the extra oranges. & Next, calculate the fraction of the total fruits that are apples. & Finally, convert this fraction into a percentage."
"The bakery made 95 muffins. They will be packed in boxes with 5 muffins in each box. If there are only 10 available boxes, how many boxes do they still need to pack all the muffins?","First, determine how many muffins can be packed in the available boxes by multiplying the number of boxes by the number of muffins per box. & Next, subtract the number of muffins that can be packed from the total number of muffins to find out how many muffins are left. & Finally, divide the remaining muffins by the number of muffins per box to find out how many additional boxes are needed."
"Heather made four times as many pizzas as Craig made on their first day at work at Mr. Pizza Inns. On their second day, Heather made 20 fewer pizzas than Craig's number. If Craig made 40 pizzas on their first day and 60 more pizzas on their second day than their first day, calculate the total number of pizzas the two made together in the two days.","Determine the number of pizzas Craig made on the second day by adding 60 to the number he made on the first day. & Calculate the number of pizzas Heather made on the first day by multiplying Craig's first-day total by 4. & Find the number of pizzas Heather made on the second day by subtracting 20 from Craig's second-day total. & Sum the pizzas made by both on each day to find the total for each day, then add these totals together."
Ashley wants a champagne toast at her wedding.  She wants to serve 2 glasses of champagne to each of her 120 wedding guests.  1 bottle of champagne has 6 servings.  How many bottles of champagne will she need?,Determine the total number of servings needed by multiplying the number of guests by the number of glasses per guest. & Calculate the number of bottles required by dividing the total number of servings by the number of servings per bottle.
John goes to the store and pays with a 20 dollar bill.  He buys 3 sodas and gets $14 in change.  How much did each soda cost?,Determine the total amount spent by subtracting the change from the initial amount. & Divide the total amount spent by the number of sodas to find the cost per soda.
"With 82 students, there are 2 students for each computer. If there are 16 more students, how many computers must they have in total to continue with 2 students per computer?",Determine the initial number of computers by dividing the number of students by the number of students per computer. & Calculate the additional computers needed by dividing the number of new students by the number of students per computer. & Sum the initial number of computers and the additional computers to find the total number of computers required.
Mark donates soup to the 6 homeless shelters.  Each one services 30 people and he decides to buy 10 cans of soup per person.  How many cans of soup does Mark donate?,"First, determine the total number of people by multiplying the number of shelters by the number of people each shelter services. & Next, find the total number of cans by multiplying the total number of people by the number of cans per person."
"A laboratory needs flasks, test tubes, and safety gear to carry out its experiments. They were given a $325 budget for the month. They bought $150 worth of flasks, spent two-thirds of that amount on test tubes, and used half of the test tube cost on safety gear. How many dollars of their budget remained?","Determine the cost of test tubes by calculating two-thirds of the flask cost. & Find the cost of safety gear by calculating half of the test tube cost. & Sum the costs of flasks, test tubes, and safety gear to find the total expenditure. & Subtract the total expenditure from the initial budget to find the remaining amount."
Amanda received $50 as a gift. She plans to buy two cassette tapes that cost $9 each and a headphone set that costs $25. How much money will she have left?,"First, calculate the total cost of the two cassette tapes by multiplying the cost of one tape by the number of tapes. & Next, add the cost of the headphone set to the total cost of the tapes to find the overall amount spent. & Finally, subtract the total amount spent from the initial amount of money to determine how much is left."
"On Monday, while at work on the farm, Jeremy picks 100 oranges. On Tuesday, together with his brother, they pick thrice as much. On Wednesday he feels tired and is only able to pick 70 oranges. What's the total number of oranges they have?",Determine the number of oranges picked on Tuesday by multiplying the Monday amount by three. & Sum the oranges picked on Monday and Tuesday to get a subtotal. & Add the oranges picked on Wednesday to the subtotal to find the total.
John's hair grows 1.5 inches every month.  Every time it gets to 9 inches long he cuts it down to 6 inches.  A haircut costs $45 and he gives a 20% hint.  How much does he spend on haircuts a year?,Determine how often John needs a haircut by comparing the growth rate to the length he cuts off. & Calculate the total number of haircuts he gets in a year based on the frequency. & Include the tip in the cost of each haircut. & Multiply the cost per haircut by the number of haircuts in a year.
"John has started at a job he works every day 10 days ago.  So far, he's made $250.  How many more days must John work before he makes twice this amount, assuming he makes the same amount every day?",Determine how much John makes per day by dividing the total amount earned by the number of days worked. & Calculate the total amount John wants to make by doubling his current earnings. & Find the total number of days required to reach the new amount by dividing it by his daily earnings. & Subtract the number of days he has already worked from the total days needed to find out how many more days he must work.
"Lighters cost $1.75 each at the gas station, or $5.00 per pack of twelve on Amazon. How much would Amanda save by buying 24 lighters online instead of at the gas station?",Determine the number of packs needed by dividing the total lighters by the number of lighters per pack. & Calculate the total cost on Amazon by multiplying the number of packs by the cost per pack. & Find the total cost at the gas station by multiplying the number of lighters by the cost per lighter. & Subtract the total Amazon cost from the total gas station cost to find the savings.
Jack has 65 pounds of sugar today. Tomorrow he will use 18 pounds of sugar and the following day he will buy 50 more pounds of sugar. How many pounds will he have in the end?,"First, determine how much sugar Jack will have after using some. & Next, calculate the total amount of sugar after he buys more."
Renne earns $4000 per month and wants to save half of her monthly earnings to buy the vehicle of her dreams worth $16000. How many months of saving will it take her to buy the vehicle?,Determine how much Renne saves each month by calculating half of her monthly earnings. & Find out how many months it will take by dividing the total cost of the vehicle by her monthly savings.
"Marie has 98 unread messages on her phone. She decides to clear them by reading 20 messages a day. However, she also gets 6 new messages a day. How many days will it take her to read all her unread messages?",Determine the net reduction in unread messages per day by subtracting the number of new messages from the number of messages read. & Calculate the total number of days required by dividing the initial number of unread messages by the net reduction per day.
"Bob has to hire someone to fix his garden.  A storm destroyed all 20 of his rose bushes.  He decides to replant all the rose bushes.  Each rose bush costs $150.  He also needs to pay a gardener $30 an hour, 5 hours each day for 4 days.  The final expense is 100 cubic feet of soil sold for $5 per cubic foot.  How much did the entire gardening project cost?",Calculate the total cost of the rose bushes by multiplying the number of bushes by the cost per bush. & Determine the total hours the gardener works by multiplying the hours per day by the number of days. & Find the gardener's total charge by multiplying the total hours worked by the hourly rate. & Compute the cost of the soil by multiplying the volume needed by the price per cubic foot. & Sum all the individual costs to find the total expense.
"Billy's mom sends him to get ketchup. She gives him $10 and tells him to get the best deal on ketchup that he can and to spend all $10 on ketchup. He finds a bottle with 10 oz that cost $1 each. He finds a bottle that costs $2 that contains 16 ounces. He finds a bottle with 25 ounces that costs $2.5. He finds a $5 bottle that contains 50 ounces. Finally, he finds a $10 bottle with 200 ounces. How many bottles of ketchup does he buy?",Calculate the cost per ounce for each bottle by dividing the price by the number of ounces. & Compare the cost per ounce of all bottles to find the cheapest one. & Determine how many bottles of the cheapest option can be bought with the given amount of money.
"From Sunday to Thursday, Prudence sleeps 6 hours a night.  Friday and Saturday she sleeps for 9 hours a night.  She also takes a 1-hour nap on Saturday and Sunday.  How much sleep does she get in 4 weeks?",Identify the number of nights Prudence sleeps 6 hours and multiply by 6. & Identify the number of nights Prudence sleeps 9 hours and multiply by 9. & Identify the number of days Prudence takes a 1-hour nap and multiply by 1. & Sum the total hours of sleep for one week. & Multiply the weekly total by 4 to find the total for 4 weeks.
"There were 100 people in attendance at the school dance.  Ten percent of the attendees were school faculty and staff.  Of the remaining attendees, two-thirds were girls.  How many boys attended the school dance?",Calculate the number of faculty and staff by finding 10% of the total attendees. & Subtract the number of faculty and staff from the total attendees to find the number of students. & Determine the number of girls by calculating two-thirds of the remaining students. & Subtract the number of girls from the remaining students to find the number of boys.
"When Suzy the librarian sat at her desk on Wednesday morning, she had 98 books ready for checkout. The same day, 43 books were checked out. The following day, 23 books were returned, but 5 books were checked out. On Friday, 7 books were returned. How many books did Suzy have?","First, subtract the number of books checked out on Wednesday from the initial number of books. & Next, add the number of books returned on Thursday to the remaining books. & Then, subtract the number of books checked out on Thursday from the new total. & Finally, add the number of books returned on Friday to the remaining books."
"John starts climbing a very steep hill.  He travels 1 foot vertically for every two feet horizontally.  His elevation increases from 100 feet to 1450 feet.  How far does he move horizontally, in feet?",Determine the total vertical distance John climbs by subtracting his starting elevation from his final elevation. & Use the given ratio of vertical to horizontal travel to find the horizontal distance.
Mark is injured so decides to spend more time reading.  He used to read 2 hours a day but increased that by 150%.  Before he read 100 pages a day.  How many pages does he read a week now?,Determine the new daily reading time by calculating the increase and adding it to the original time. & Calculate the daily reading speed by dividing the number of pages by the original reading time. & Find the new daily pages read by multiplying the new daily reading time by the reading speed. & Calculate the weekly pages read by multiplying the new daily pages read by the number of days in a week.
"Evergreen Elementary school has 100 students in Grades 4, 5, and 6. There are 30 students in Grade 4 and 35 students in Grade 5. How many students are in Grade 6?","First, find the total number of students in Grades 4 and 5 by adding the number of students in each grade. & Next, subtract the total number of students in Grades 4 and 5 from the overall number of students to find the number of students in Grade 6."
"Mary has 400 sheep on her farm. She gave a quarter of her sheep to her sister, and half of the remaining sheep to her brother. How many sheep remain with Mary?","First, determine how many sheep Mary gives to her sister by calculating a quarter of the total number of sheep. & Next, subtract the number of sheep given to her sister from the total to find out how many sheep remain. & Then, calculate half of the remaining sheep to find out how many sheep Mary gives to her brother. & Finally, subtract the number of sheep given to her brother from the remaining sheep to find out how many sheep Mary has left."
"Nelly is very pleased with the painting she bought at the auction. She tells her daughter that she outbid her rival Joe by paying $2000 more than thrice his bid. If Joe’s bid was $160,000, at how much did Nelly get the painting?","First, determine the value of three times Joe's bid. & Next, add the additional amount Nelly paid to this value."
"Rita bought 5 short dresses, 3 pairs of pants and 4 jackets from a store that sells second-hand clothes. The dresses cost $20 each, the pants cost $12, the jackets cost $30 each, and she spent an additional $5 on transportation. If she had $400 initially, how much does she have now?",Calculate the total cost for each type of item by multiplying the quantity by the price. & Add the transportation cost to the total cost of all items. & Subtract the total expenditure from the initial amount to find the remaining amount.
Tim decides to start selling necklaces he makes.  He uses 10 charms to make each necklace.  Each charm cost $15.  He sells the necklace for $200.  How much profit does he make if he sells 30?,Determine the cost of making one necklace by multiplying the number of charms by the cost per charm. & Calculate the profit for one necklace by subtracting the cost of making it from the selling price. & Find the total profit by multiplying the profit per necklace by the number of necklaces sold.
"40 less than 10 times Diaz's age is 20 more than 10 times Sierra's age. If Sierra is currently 30 years old, how old will Diaz be 20 years from now?",Identify the relationship between Diaz's age and Sierra's age. & Use Sierra's current age to find the value of 10 times her age. & Adjust this value by adding 20 to find the comparison value. & Determine Diaz's age by solving the equation involving 10 times Diaz's age. & Calculate Diaz's age 20 years from now.
"Candace is trying to decide whether to wear her old shoes or new high-tech shoes for a hike. The high-tech shoes will help Candace walk twice as fast, but they're not broken in yet, so she'll get 1 blister after every 2 hours she spends walking in them. Each blister slows Candance down by 2 miles per hour. If Candance walks 6 miles per hour in the old shoes and plans to hike for 4 hours, how many miles per hour can she go in the new shoes?",Consider how the high-tech shoes affect her speed initially and after each blister. & Calculate the average speed over the entire hike.
"Charlotte is making a pie. She can't decide if she will make cherry or blueberry. So she decides to make whichever pie is cheapest. Both pies will need $2 for flour, $1 for sugar and $1.5 for eggs and butter to make the crust. The blueberry pie needs 3 pounds of blueberries. The blueberries come in 8 oz containers for $2.25. For the cherry pie, she needs 4 pounds and they come in a four-pound bag for $14. What is the total price to make the cheapest pie?","Determine the cost of the crust by adding the prices of flour, sugar, and eggs and butter. & Convert the weight of blueberries needed from pounds to ounces and calculate the number of containers required. & Multiply the number of containers by the price per container to find the total cost of blueberries. & Compare the total cost of blueberries with the cost of cherries to determine the cheaper option. & Add the cost of the crust to the cost of the cheaper fruit to find the total price of the cheapest pie."
"Paul's grades last semester were very bad. To encourage him, Paul's dad promised him $5 for every B+ he gets in his next scorecard and twice that amount for every A. If Paul obtains at least two A+ he'll double the previous rewards and would receive a flat $15 for every A+ obtained (with no extra bonus). If there are 10 courses with grades in Paul's scorecard, what's the maximum amount he could receive from his dad?",Identify the reward for each grade and how it changes with at least two A+. & Determine the optimal number of each grade to maximize the total reward.
"Christine and Janice are having a contest to see who can throw a ball the highest. They each get three throws. On her first throw, Christine throws it 20 feet high. Janice's throw is 4 feet lower than Christine's. On their second throw, Christine throws it ten feet higher than her first throw and Janice throws it twice as high as her first throw. On the final throw, Christine throws it 4 feet higher than her 2nd throw while Janice throws it 17 feet higher than Christine's first throw. What is the height of the highest throw?",Identify the height of each throw by adding or subtracting the given values. & Compare all the throws to determine the highest one.
"TreShaun's full marker has enough ink in it to paint three 4 inch by 4 inch squares. If he colors in two 6 inch by 2 inch rectangles, what percentage of ink is left?",Calculate the area of one square. & Determine the total area of three squares. & Calculate the area of one rectangle. & Determine the total area of two rectangles. & Find the fraction of ink used. & Convert the fraction to a percentage.
"In four years, Peter will be twice as old as Harriet. If Peter's age is currently half of his mother's age, who is 60, how old is Harriet now?",Determine Peter's current age by using the given information about his mother's age. & Calculate Peter's age in four years. & Use the relationship between Peter's and Harriet's ages in four years to find Harriet's age in four years. & Subtract four years from Harriet's age in four years to find her current age.
There are 45 children in a classroom. One-third of them are girls. How many boys are in the classroom?,Determine the number of girls by multiplying the total number of children by one-third. & Subtract the number of girls from the total number of children to find the number of boys.
Janet likes collecting action figures in her spare time. She currently owns 10 action figures and sells 6 of them to get 4 that are in better condition. Her brother then gives her his collection which is twice the size of what Janet has at the time. How many action figures does she now have in total?,Determine how many action figures Janet has after selling some. & Calculate the new total after she buys more. & Find out how many action figures her brother gives her. & Add the final amounts to get the total.
"The height of the tree in Kilmer Park is 52 feet. Each year it grows 5 feet. In 8 years, what will the height of the tree be in inches, assuming 1 foot is 12 inches.",Determine the total growth over the given period by multiplying the annual growth by the number of years. & Add the total growth to the initial height to find the new height. & Convert the new height from feet to inches by multiplying by the conversion factor.
"Yesterday, Vincent bought fifteen packs of stickers. Today, he bought ten more packs of stickers than yesterday. How many packs of stickers does Vincent have altogether?",Determine how many packs Vincent bought today by adding ten to the number of packs he bought yesterday. & Add the number of packs bought yesterday to the number of packs bought today to find the total.
The last time Bob cut his hair he cut it to 6 inches.  His hair is now 36 inches long.  If hair grows at a rate of .5 inches per month how many years did it take him to grow out his hair?,Determine the total growth by subtracting the initial length from the current length. & Calculate the annual growth by multiplying the monthly growth rate by the number of months in a year. & Find the number of years by dividing the total growth by the annual growth rate.
"A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?","Determine the total number of fruits in one of the first three baskets by adding the apples, oranges, and bananas. & Multiply the total number of fruits in one basket by the number of such baskets. & Calculate the number of each type of fruit in the fourth basket by subtracting 2 from the corresponding number in the first three baskets. & Add the total number of fruits in the fourth basket to the total number of fruits in the first three baskets."
"Janice has been working part-time at a convenience store 5 days a week. She can earn $30 per day and can earn $15 more when she works a 2 hour overtime shift. If she works three overtime shifts this week, how much will she earn this week?",Calculate her total earnings for the regular workdays first. & Determine the additional earnings from the overtime shifts. & Add the regular earnings and the overtime earnings to find the total.
"The epic poem currently contains 24 lines. If a person adds 3 lines to the poem every month, in how many months will the poem contain 90 lines?",Determine the total number of lines needed by subtracting the current number of lines from the target number of lines. & Calculate the number of months required by dividing the total number of lines needed by the number of lines added each month.
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,"First, determine the total number of animals Martha's cat catches by adding the number of rats and birds. & Next, multiply the total number of animals caught by Martha's cat by 5. & Finally, subtract 3 from the result to find the total number of animals Cara's cat catches."
"Michael has $42. His brother has $17. Michael gives away half the money to his brother. His brother then buys 3 dollars worth of candy. How much money, in dollars, did his brother have in the end?",Determine how much money Michael gives to his brother by finding half of Michael's initial amount. & Add the amount Michael gives to his brother to his brother's initial amount to find the total. & Subtract the cost of the candy from the total amount his brother has after receiving money from Michael.
"To produce one chocolate bar, a company needs 1.5 grams of sugar. Every minute the company produces 36 chocolate bars. How many grams of sugar will the company use in two minutes?",Determine the amount of sugar needed for one minute by multiplying the number of chocolate bars produced in one minute by the sugar required for one bar. & Calculate the total sugar used in two minutes by doubling the amount of sugar used in one minute.
"A cook had 300 carrots in a bucket he was using to cook meals for a restaurant. Before lunch, he had used 2/5 of the carrots. By the end of the day, he had chopped and used 3/5 of the remaining carrots. How many carrots were not used that day?","First, determine how many carrots were used before lunch by calculating 2/5 of the total number of carrots. & Next, find the remaining number of carrots by subtracting the used carrots from the total. & Then, calculate how many of the remaining carrots were used by the end of the day by finding 3/5 of the remaining carrots. & Finally, subtract the carrots used by the end of the day from the remaining carrots to find how many were not used."
"Brittany is older than Rebecca by 3 years, who is 25. Brittany goes on a 4-year vacation. How old is Brittany when she returns from her vacation?","First, determine Brittany's current age by adding the age difference to Rebecca's age. & Next, add the duration of the vacation to Brittany's current age to find her age when she returns."
"Nancy's ex owes her child support. He's supposed to pay 30% of his income each year. For 3 years, he made $30,000/year, then he got a 20% raise for the next four years. If he's only ever paid $1,200, how much does he owe her?",Calculate the total earnings for the first 3 years by multiplying the annual salary by the number of years. & Determine the raise amount by multiplying the original salary by the raise percentage. & Add the raise to the original salary to find the new annual salary. & Calculate the total earnings for the next 4 years by multiplying the new annual salary by the number of years. & Sum the earnings from both periods to find the total earnings. & Multiply the total earnings by the percentage he was supposed to pay. & Subtract the amount already paid from the total amount he was supposed to pay.
Tommy has a flag that is 5 feet wide and 4 feet tall. He wants to paint it with a new design. He knows from experience that he needs to paint both sides. Paint costs $2 a quart and a quart is good for 4 square feet. How much does he spend on paint?,Calculate the area of one side of the flag. & Determine the total area to be painted by considering both sides. & Find out how many quarts of paint are needed based on the total area. & Calculate the total cost based on the number of quarts needed.
"Katrina has 120 cookies to sell at her bakery. She plans to take home any cookies she doesn’t sell by the end of the day. In the morning, she sells 3 dozen cookies. During the lunch rush, she sells 57 cookies. In the afternoon, she sells 16 more cookies. How many cookies does she have left to take home?",Convert dozens to individual cookies. & Sum the cookies sold in each time period. & Subtract the total cookies sold from the initial amount.
"Avery puts 4 shirts in the donation box.  He adds twice as many pants as shirts in the box.  He throws in half as many shorts as pants in the box. In total, how many pieces of clothes is Avery donating?","Determine the number of pants by multiplying the number of shirts by 2. & Find the number of shorts by dividing the number of pants by 2. & Sum the quantities of shirts, pants, and shorts to get the total number of clothes."
"One of the clubs at Georgia's school was selling carnations for a fundraising event. A carnation costs $0.50.  They also had a special where you could buy one dozen carnations for $4.00.  If Georgia sent a dozen carnations to each of her 5 teachers and bought one carnation for each of her 14 friends, how much money would she spend?",Calculate the total cost for the teachers by multiplying the cost per dozen by the number of teachers. & Determine the number of single carnations needed by subtracting the number of friends from a dozen. & Calculate the cost of the remaining single carnations by multiplying the number of single carnations by the cost per carnation. & Add the total costs together to find the final amount spent.
Southton buries their time capsule 15 feet underground. Northton buries their time capsule 12 feet higher than 4 times the depth of the Southton time capsule. How deep is Northton's time capsule buried?,"First, multiply the depth of Southton's capsule by 4. & Then, subtract 12 feet from the result to find the depth of Northton's time capsule."
"Beth is a scuba diver.  She is excavating a sunken ship off the coast of a small Caribbean island and she must remain underwater for long periods.  Her primary tank, which she wears when she first enters the water, has enough oxygen to allow her to stay underwater for 2 hours.  She also has several 1-hour supplemental tanks that she takes with her as well as stores on the ocean floor so she can change tanks underwater without having to come up to the surface.  She will need to be underwater for 8 hours.  How many supplemental tanks will she need?",Determine how many hours Beth can stay underwater with her primary tank. & Subtract the hours provided by the primary tank from the total hours needed. & Calculate the number of supplemental tanks required based on the remaining hours.
"Ethan makes beeswax candles.  For each candle, he uses 8 ounces of beeswax and 1 ounce of coconut oil.  If he makes three less than 10 candles, what will be the combined weight of the candles in ounces?",Determine the total weight of one candle by adding the weight of beeswax and coconut oil. & Calculate the number of candles by subtracting three from ten. & Multiply the number of candles by the weight of one candle to find the combined weight.
"If Sally had $20 less, she would have $80. If Jolly has $20 more, she would have $70. How much money do Sally and Jolly have altogether?",Identify how much Sally has by reversing the subtraction. & Determine Jolly's amount by reversing the addition. & Sum the amounts of Sally and Jolly.
"While chatting in the school cafeteria, Cesar's friend Demi tells him that a new fantasy series was on Netflix and he should watch it. The new series has 12 seasons, and each season has 20 episodes. If Cesar watched 1/3 of the series before the school closed, how many episodes were remaining for him to finish the series?","First, determine the total number of episodes by multiplying the number of seasons by the number of episodes per season. & Next, calculate how many episodes Cesar has watched by finding 1/3 of the total number of episodes. & Finally, subtract the number of episodes Cesar has watched from the total number of episodes to find the remaining episodes."
"An orphaned kitten was only 4 inches when he was found. In the next two weeks, he doubled in length, and by 4 months old, he had double in length again. What is its current length?","First, determine the kitten's length after it doubled in the first two weeks. & Next, find the kitten's length after it doubled again by 4 months old."
"Jame's buys 100 head of cattle for $40,000.  It cost 20% more than that to feed them.  They each weigh 1000 pounds and sell for $2 per pound.  How much profit did he make?",Calculate the additional cost to feed the cattle by finding 20% of the purchase cost. & Add the additional feeding cost to the purchase cost to find the total cost. & Determine the total revenue by multiplying the selling price per pound by the weight of each cow and then by the number of cows. & Subtract the total cost from the total revenue to find the profit.
"Genevieve picked some cherries from the supermarket shelves that cost $8 per kilogram. When Genevieve reached the checkout counter, she realized she was $400 short of the total price and her friend Clarice chipped in. If Genevieve had $1600 on her, how many kilograms of cherries did she buy?",Determine the total amount of money Genevieve had after Clarice chipped in. & Use the total cost and the price per kilogram to find the number of kilograms.
There were 250 balloons in one package. Dante evenly shared the balloons among his 5 friends. Dante changed his mind and asked each of his friends to give him 11 balloons. How many balloons does each friend have now?,"First, determine how many balloons each friend initially received by dividing the total number of balloons by the number of friends. & Next, subtract the number of balloons Dante took back from each friend from the initial amount each friend received."
"A club is going to get additional members so that they will have 5 more than twice their current number of their members. If the club has 10 members now, how many additional members do they need?","First, determine twice the current number of members. & Next, add 5 to this result to find the desired total number of members. & Finally, subtract the current number of members from this total to find the number of additional members needed."
"Carson runs a carpool for five of his friends. The five of them cover all the gas expenses to compensate Carson for his time. Their total commute is 21 miles one way, gas costs $2.50/gallon, Carson's car gets 30 miles/gallon, and they commute to work 5 days a week, 4 weeks a month. How much does each person pay toward gas monthly?",Calculate the total number of commutes in a month by multiplying the number of days per week by the number of weeks per month. & Determine the round-trip distance by multiplying the one-way distance by two. & Find the total monthly distance by multiplying the round-trip distance by the total number of commutes. & Calculate the total gallons of gas needed by dividing the total monthly distance by the car's gas mileage. & Find the total cost of gas by multiplying the total gallons needed by the cost per gallon. & Determine the cost per person by dividing the total cost by the number of friends.
"Four cats live in the old grey house at the end of the road.  Their names are Puffy, Scruffy, Buffy, and Juniper.  Puffy has three times more whiskers than Juniper, but half as many as Scruffy.  Buffy has the same number of whiskers as the average number of whiskers on the three other cats.  If Juniper has 12 whiskers. how many whiskers does Buffy have?","Identify the number of whiskers Juniper has. & Determine Puffy's whiskers using Juniper's whiskers. & Calculate Scruffy's whiskers using Puffy's whiskers. & Find Buffy's whiskers by averaging the whiskers of Juniper, Puffy, and Scruffy."
James buys twice as many toy soldiers as toy cars.  He buys 20 toy cars.  How many total toys does he buy?,Determine the number of toy soldiers by multiplying the number of toy cars by 2. & Add the number of toy cars and toy soldiers to find the total number of toys.
"A Moroccan restaurant received 3 different shipments of couscous. The first two shipments of 7 and 13 pounds arrived on the same day. The next day's shipment was 45 pounds of couscous. If it takes 5 pounds of couscous to make a dish, how many dishes did the restaurant make?","First, find the total weight of the first two shipments by adding them together. & Next, add the weight of the third shipment to the total from the first two shipments. & Finally, divide the total weight by the amount of couscous needed for one dish to find the number of dishes."
"After buying shirts worth $27 from a store, Dennis received 2 $10 bills and $3 in loose coins for his change. How much money did Dennis have initially?",Add the value of the $10 bills to find the total amount of change received in bills. & Combine the total amount of change received in bills with the loose coins to find the total change. & Add the total change to the amount spent to find the initial amount of money.
Cassandra bought four dozen Granny Smith apples and used them to make four apple pies.  She cut each pie into 6 large pieces.  How many apples are in each slice of pie?,Convert dozens to individual apples. & Determine the total number of pie slices. & Divide the total number of apples by the total number of slices.
"Amanda has to sell 80 tickets in 3 days so she can make enough money to go on vacation. On the first day, she sells 5 of her friends 4 tickets each. On the second day she sells 32 tickets. How many tickets does she need to sell on the third day to meet her goal?",Calculate the total number of tickets sold on the first day by multiplying the number of friends by the number of tickets each friend bought. & Add the number of tickets sold on the first and second days to find the total number of tickets sold so far. & Subtract the total number of tickets sold so far from the goal to find out how many tickets Amanda needs to sell on the third day.
